"","centrifugal_order.avg","centrifugal_order.max","centrifugal_order.sd","com.dist","density_area","density_bifs","density_dist","eccentricity","euclidean_dist.avg","euclidean_dist.max","euclidean_dist.sd","grid_area","grid_coarse.area","grid_coarse.mean","grid_coarse.singleton","grid_mean","grid_sd","grid_singleton","height","l1_bifs","l1_cx","l1_cxo","l1_cy","l1_mean","l1_prob","l1_width","length.avg","length.med","length.sd","N_bifurcations","origin_above_below","origin_init","partition_asymmetry.avg","path_dist.avg","path_dist.max","path_dist.sd","ratio_x","ratio_y","remote_bifurcation_angle.avg","remote_tilt_angle.avg","remote_torque_angle.avg","short_vertical","terminal_degree.avg","tortuosity.avg","tortuosity.med","total_length","translaminar","type_one","type_two","vertex_ratio","vertical","width","x_mean","x_mean_abs","x_sd","x_std_mean","x_std_mean_abs","y_mean","y_mean_abs","y_sd","y_std_mean","y_std_mean_abs","t.length.med","t.length.avg","t.tortuosity.avg","t.remote_bifurcation_angle.avg","t.remote_tilt_angle.avg","t.remote_torque_angle.avg","d.centrifugal_order.avg","d.centrifugal_order.max","d.centrifugal_order.sd","d.com.dist","d.density_area","d.density_bifs","d.density_dist","d.displaced","d.eccentricity","d.euclidean_dist.avg","d.euclidean_dist.max","d.euclidean_dist.sd","d.grid_area","d.grid_coarse.area","d.grid_coarse.mean","d.grid_coarse.singleton","d.grid_mean","d.grid_sd","d.grid_singleton","d.height","d.insert.eccentricity","d.insert.vertical","d.length.avg","d.length.med","d.length.sd","d.N_bifurcations","d.N_stems","d.partition_asymmetry.avg","d.path_dist.avg","d.path_dist.max","d.path_dist.sd","d.ratio_x","d.ratio_y","d.remote_bifurcation_angle.avg","d.remote_tilt_angle.avg","d.remote_torque_angle.avg","d.terminal_degree.avg","d.tortuosity.avg","d.tortuosity.med","d.total_length","d.translaminar","d.tree_length.avg","d.type_one","d.type_two","d.vertical","d.width","d.x_mean","d.x_mean_abs","d.x_sd","d.x_std_mean","d.x_std_mean_abs","d.y_mean","d.y_mean_abs","d.y_sd","d.y_std_mean","d.y_std_mean_abs"
"C010600A2",7.74144486692015,14,2.78656691222369,111.635905111023,0.0205204728977029,0.0228681541190503,0.0539356791587098,0.246413928084478,150.067717523101,422.688416,80.6602534313005,236,22,16.4545454545455,3,3.10593220338983,2.99812118111671,102,357.480023,5.01435989889171e-12,1.20831656526427e-10,1.8975779260231e-10,1.92939403017964e-10,1.58678853167858e-12,6.26794987361464e-14,3.08959803347268e-11,43.728933904943,34.816826,36.8766261835645,263,48.951142,-46.728748,0.526221030534351,248.958664984086,620.298584,102.419102839977,5.88463862887897,5.24186094516137,70.3329438468656,26.7111200842881,45.758358805534,34,3.51848049281314,0.90252868606668,0.921581692226735,11500.709617,0.985525319812198,54,39,0.722222222222222,-0.192119099229551,520.050018,11.9775717941478,11.9775717941478,88.3741637843054,0.135532504990729,0.135532504990729,-110.991500052361,110.991500052361,68.1971587456894,-1.62750915278236,1.62750915278236,45.317892,52.5953518030303,0.898363523467247,65.7237046648938,24.0368252268797,45.4255814532785,2.05,6,1.5843788720683,69.9289792905437,0.0279816217523598,0.00656359028759056,0.105303374630599,4.5477284561346,0.171679684431068,96.0795554092072,264.770447,53.963299237866,81,9,5.88888888888889,2,2.04938271604938,1.42215711656537,42,319.150021,0.69311624222184,0.570160238267758,72.368929075,50.6695365,72.9478714306896,19,6,0.515406117647059,118.333176674339,304.827698,68.5704970212972,4.71321951516561,5.07825611290166,61.9521872920707,27.6470538206866,44.1016736096468,0.436487638533674,0.821114393913513,0.815420557218932,2894.757163,0.928672497433715,482.459527166667,8,7,-0.0248688873010148,307.667095021285,-9.40521289727041,9.40521289727041,65.2774805059074,-0.144080513285424,0.144080513285424,-69.2936080383632,69.2936080383632,62.8463814948556,-1.10258707645778,1.10258707645778
"C010600B1",10.6031746031746,26,4.36651400957977,147.121230796631,0.0141170814890673,0.01925056566691,0.0373444211278826,0.31407652696434,210.576096830343,476.458496,87.0903277503295,462,38,23.8684210526316,9,4.32900432900433,3.99131142638198,145,836.100007,0.0729522989062384,3.03429443201086,5.88276893695054,9.67696582132677,-0.0229401715598857,0.00521087849330274,2.31102461177977,51.946525484127,36.54184,49.6604582111294,630,-28.513519,79.902222,0.513065041533546,377.98032608195,1222.145142,159.350976008405,6.3703268393367,6.61160523788412,70.0185877920907,25.737771032719,48.9934617529081,61,4.0457953936797,0.869234449652098,0.875184678846451,32726.311055,0.999999958628894,117,98,0.837606837606838,0.303116588350296,553.110001,-8.26357046130155,8.26357046130155,86.8260004470338,-0.0951739158634003,0.0951739158634003,146.888971520487,146.888971520487,126.459456806222,1.16154991671022,1.16154991671022,52.1729925,65.7264188765823,0.866661966184787,64.0406136271146,24.4123706758919,50.3010747143272,3.19101123595506,7,1.8639913461464,31.1876863505325,0.0288433570713854,0.00888883331130744,0.0812268220145353,10.2670109663005,0.355127192458832,144.525011081851,373.881409,73.5736940776658,159,19,5.73684210526316,6,1.88679245283019,1.27776075926496,89,592.470017,0.686856774138316,0.353241364761525,61.9385895168539,47.511559,56.1033663343508,49,7,0.487878780487805,168.058365916624,447.765656,88.7541257830732,4.63207250137273,4.60550944815721,53.1632012343101,22.4873567085221,47.3154803775339,1.1642094560244,0.844875253867737,0.846300776988743,5512.534467,0.99974069534093,787.504923857143,16,15,0.218457635266907,426.176539918052,8.114377221026,8.114377221026,92.0055849280756,0.0881943984962362,0.0881943984962362,30.1135959694967,30.1135959694967,128.643752372946,0.234085180306274,0.234085180306274
"C010600B2",10.2681992337165,17,3.25412522431726,127.710474115474,0.0238074853852113,0.0133917105291814,0.0536375113019912,0.357811487208523,246.959238390379,608.458557,115.204247739653,464,46,8.91304347826087,15,2.12931034482759,1.90273270534001,264,1087.050018,0,9.80797845082797,13.4697476521604,40.7367932825649,7.70204436732919,0.154505016553686,7.19066300689349,74.6730597126437,47.394966,84.4735864988277,261,122.743606,48.477997,0.560457976923077,487.359618407289,1045.377319,184.070703602665,7.48544529290904,6.60797392806835,80.2511422952425,28.8532105046366,49.6235198185866,27,4.0332361516035,0.822709891796363,0.831732248754481,19489.668585,0.999999999999999,59,36,0.610169491525424,0.265636523654388,833.339996,21.2942384510204,21.2942384510204,111.328045746246,0.191274699095654,0.191274699095654,125.922677098251,125.922677098251,164.505797061728,0.765460423567934,0.765460423567934,55.769192,86.1925266335878,0.812271336201605,78.5263808058432,28.6805019111265,49.7061241498525,4.02941176470588,10,2.73708957659542,39.8836805180997,0.0271294822749228,0.0103459890031485,0.119145034028083,20.1985931927261,0.619580008627894,139.53289790176,379.870575,74.240405598838,118,13,6.69230769230769,1,1.85593220338983,1.32223214358076,70,618.610001,0.805368241082953,0.744058545823192,63.9634070441176,49.9717865,62.5582675835714,45,6,0.540445935483871,178.742660790323,518.222717,107.880297135598,6.54067890923924,4.29860398082506,66.448519686913,23.9013484320955,54.8509780602335,1.42961876832845,0.768040629671108,0.768735380454872,4349.511679,0.999940563783849,724.918613166667,13,11,0.616950321055506,358.098096081784,30.2079083226714,30.2079083226714,54.7493770984449,0.551748895121758,0.551748895121758,-26.0420860615836,26.0420860615836,143.909511962362,-0.180961534136775,0.180961534136775
"C010600C1",9.55752212389381,21,4.27070236866614,89.5612089321271,0.0234755705836634,0.0342288964639221,0.0987597875749839,0.415496530428764,143.551319801444,351.582855,60.8048279955462,155,20,14.55,5,3.27741935483871,3.25244260632146,69,317.380004,2.27180486535945,22.1049164712916,59.607056299898,67.0458103230652,0.9651101097313,0.0255258973635893,11.3431983980613,29.2150815044248,17.7537615,33.5964846834432,226,92.677307,-72.596924,0.550625720720721,267.401372288809,652.072205,100.742521096148,6.60193871711231,5.77013347523981,79.2520378845111,31.6725360217496,45.4733291565383,42,6.3870036101083,0.886937588344484,0.907342642655063,6602.60842,0.0479701993846754,47,33,0.702127659574468,-0.282996320835986,564.23999,27.6396346700361,27.6396346700361,85.4658024221707,0.323399931747041,0.323399931747041,-85.1895576974729,85.1895576974729,55.0039276148304,-1.54879044809345,1.54879044809345,16.719189,31.4519860350877,0.902465702619861,74.3742548013065,29.7817281126787,44.7509327373794,3.13513513513514,7,1.82820741228733,27.7306609092873,0.0332769988336119,0.0163564909521143,0.169522992597392,26.8172684619871,0.753013387114957,99.3810682734742,275.933807,53.0524649276444,59,9,5.44444444444444,3,2.03389830508475,1.67090829826295,32,454.549988,0.939785304957912,0.560306469171394,47.9188223243243,35.93977,53.676806100227,29,3,0.583778941176471,106.75152079108,300.56366,58.3432917688373,4.89056693728114,4.4226042375255,56.5080501736167,22.4240177450336,51.2758809009024,0.586854460093897,0.900247882943035,0.911723302918244,1772.996426,0.0701517374181223,590.998808666667,9,5,0.508237495251945,193.296574177313,-8.25220486316478,8.25220486316478,39.5243693944355,-0.208787767891031,0.208787767891031,-26.4743398286385,26.4743398286385,102.778807143351,-0.257585591470364,0.257585591470364
"C020200-16",8.66869300911854,17,3.19722037145393,20.2727317948697,0.0187208907911406,0.021093058459881,0.0526571346032322,0.21332611316592,111.424426227714,460.665741,64.6262796183865,292,29,16.5172413793103,11,3.49315068493151,3.4126237758703,121,615.540024,13.2179216137827,321.787084574374,580.887361864845,683.658364001469,2.12786826509106,0.16119416602174,66.6038153629986,47.408961668693,34.035908,41.8461569688747,329,-34.688354,43.46875,0.511907902439024,307.088419156762,821.322205,135.768583012064,5.77094884633898,6.66932369363469,71.0709443670831,26.545360337884,43.3275502286804,39,3.81352334748332,0.874683156803365,0.891203641814562,15597.548389,0.933247880528486,63,51,0.80952380952381,0.0977164264129516,460.589997,20.0943493990297,20.0943493990297,79.811831514014,0.251771560905746,0.251771560905746,2.68342629047908,2.68342629047908,92.294219365523,0.0290746951317894,0.0290746951317894,46.776722,59.8444096484848,0.873567984428656,66.1439325668577,24.6369550023182,45.6572740105817,1.54545454545455,4,1.17046095977224,15.4219050639089,0.03045366935653,0.00377045430128467,0.0797219486016426,4.74432145227307,0.0817762666101547,87.1458949436846,262.106323,47.5997070652104,105,13,3.46153846153846,6,1.5047619047619,1.11047295471352,77,429.770004,0.484055586539531,-0.455247086667766,78.3604631818182,48.6206515,75.8022572316338,13,10,0.368627411764706,103.235424580048,274.870148,59.5164318673664,4.41292979317623,6.33531258934344,68.2862963833614,22.6072766106362,39.1565639641249,0.404666130329847,0.798713140517392,0.806530873654729,3447.86038,0.0259492377845651,344.786038,5,9,-0.0142058652391935,305.638517751119,-0.0110766114172876,0.0110766114172876,69.2597734556603,-0.000159928496219797,0.000159928496219797,-15.4219010860821,15.4219010860821,67.8372215954918,-0.227336862026008,0.227336862026008
"C020600C1",8.76555023923445,17,3.68045249734381,42.2480662252478,0.0262996219936953,0.0094606213368026,0.0614340632839499,0.0749926700908139,190.987661321275,570.443909,113.327854950881,581,55,7.38181818181818,19,2.08261617900172,1.79272207945113,326,939.829987,0.000518218459820846,0.0295011377859451,0.109849880799306,0.156819137829698,0.00305138231903359,0.000103643691964169,0.0501687277478881,105.701302736842,62.295567,114.425138963192,209,47.279786,-128.552109,0.600204009615385,606.931977864194,1357.175049,264.822239907529,7.31789902809864,6.25521893428089,91.4501815291843,31.0660195664238,45.2283798027332,17,3.63120784794605,0.86104018758388,0.872354476007199,22091.572272,0.999999999999982,49,28,0.571428571428571,0.0576024228982628,1024.059967,41.0766289742489,41.0766289742489,139.939067629644,0.293532247070278,0.293532247070278,-9.87975970784795,9.87975970784795,150.247336963601,-0.0657566377382209,0.0657566377382209,77.352417,131.734617285714,0.850962483868493,86.6829009051033,33.1338992744685,46.8873378202123,2.69387755102041,5,1.32608574434708,58.7900890642869,0.0323550380934248,0.00740327142815653,0.126502451538906,6.56888261849721,0.3837694096416,130.155972548815,412.937347,85.5886871930043,118,18,4.16666666666667,7,1.6864406779661,1.22438997573899,82,509.610024,0.589700131468074,0.487919109687588,74.429313244898,36.191765,77.5933286234792,27,3,0.445341565217391,165.696558584379,461.359039,99.0375979576961,4.9951233140261,4.30542311580675,81.0424188938567,31.4911529569443,46.5037590212247,0.868200836820084,0.8324129325808,0.844729437384853,3647.036349,0.999981298134929,1215.678783,8,9,0.296155729156021,381.937689273046,0.51662434992279,0.51662434992279,76.4621141985786,0.00675660561230458,0.00675660561230458,58.7878190739191,58.7878190739191,118.364678753417,0.496666908515748,0.496666908515748
"C031097B-I4",9.6045197740113,20,3.52697132153214,111.024772219212,0.0157521107064823,0.0300876646947557,0.0464467886535391,0.290438077094994,163.066643410714,493.331787,76.2030825990176,278,32,20.6875,8,4.34172661870504,4.6775197735394,101,861.339996,0.0617952381779487,0.52742241964403,1.6023506804423,3.06581407582133,-0.169395368286223,0.0154488095444872,0.687626528273934,33.236211920904,21.988674,34.6022098632557,531,7.91098,119.606155,0.609703411320755,360.059804707002,819.71283,136.194852437768,7.11873501591447,8.26423328932337,77.9020397004651,33.4086261295411,48.8775786618992,60,5.66541353383459,0.825830736501033,0.834979634846706,17648.42853,0.999999999240445,124,71,0.57258064516129,0.236130877558474,538.059997,28.7040053432801,28.7040053432801,75.5836529660292,0.379764727118719,0.379764727118719,107.250082161184,107.250082161184,104.225034052799,1.02902419880096,1.02902419880096,22.2788745,34.5776686240602,0.830941513624615,76.0398055389426,32.5575354389027,47.8845147592611,3.26315789473684,7,1.78811868203781,57.2521897457761,0.0235395014198941,0.0111661737504626,0.10724405633723,3.51489127016018,0.529084392254355,99.6918936870163,230.12941,46.1836011457546,78,9,7.55555555555556,2,2.21794871794872,1.7029190820275,39,197.050011,0.50007600026177,0.350995077543487,58.1329667192982,36.297394,50.2762098717174,37,3,0.441959481481482,149.674173762683,355.361664,73.4448865000758,4.54199872782332,4.77795516177576,60.5554340246133,31.2587884007774,47.0178004307381,0.977644024075666,0.753774797146111,0.760692290840048,3313.579103,0.350164384684009,1104.52636766667,10,10,-0.467786467645328,387.785235047599,13.0165544496537,13.0165544496537,85.377662629474,0.152458547689968,0.152458547689968,55.7528702484953,55.7528702484953,41.2414943899902,1.35186348295922,1.35186348295922
"C040426",10.4044943820225,24,5.18520080325003,394.355775183825,0.0302264812427126,0.0151132406213563,0.117386954883057,0.598743292726405,401.129955311377,1063.296875,227.465239636617,356,40,7.05,9,1.92415730337079,1.43492871412575,200,1082.630052,2.23454648848641,61.4444431844282,162.479469364981,162.093951438871,-26.2250805013307,0.558636622121602,140.664698657036,66.1671460842697,38.0311205,74.1818571332126,178,-76.963257,96.939354,0.650606356321839,558.022305117321,1382.554443,283.38080429479,7.35215391742975,4.63236824768643,79.3193195939639,27.8776863011452,47.0618965898016,23,5.45331559104014,0.748897915915668,0.76818358827405,11777.752003,1,47,20,0.425531914893617,0.578333675489593,691.809998,-0.262233780660902,0.262233780660902,94.0962343511235,-0.00278686795990546,0.00278686795990546,394.355687995343,394.355687995343,233.70984216134,1.6873730449191,1.6873730449191,33.930756,61.5397277333333,0.713328519170965,76.1646984186539,29.1763595167823,47.5943394484548,2,4,1.31425748134554,34.3404852292135,0.0376667460258748,0.00991230158575653,0.16827171544012,52.9412362190541,0.233682772868184,78.3914166612184,211.287323,43.2720842216018,57,10,3.5,3,1.59649122807018,0.923109054128783,36,241.959999,0.929591185912197,0.883663476454275,65.7943977391304,44.978199,51.8261445376352,15,3,0.55,93.9660302555721,254.640732,56.4704643294401,4.65501331146343,4.29997272029238,62.9710869020358,25.8385057996762,42.0907860916146,0.674591381872214,0.765585204212979,0.755933892069271,1513.271148,1.46842885628121e-06,504.423716,5,4,-0.020417246845598,270.477828014637,-32.4459503338655,32.4459503338655,58.1046304096615,-0.558405588420549,0.558405588420549,-11.2485213566122,11.2485213566122,56.2701241936129,-0.19990219530898,0.19990219530898
"C040600A2",9.9163179916318,17,3.21258447218021,139.770651895777,0.0235126592416209,0.016926281803456,0.0663181041845799,0.177631754919163,179.04857307178,485.90448,86.6313009933359,332,28,13.1071428571429,7,2.64759036144578,2.29261791302725,151,614.310028,0.631640004495212,32.5057764158049,58.0871978611409,118.449870627156,4.95258651849007,0.157910001123803,34.7907325529663,59.0797206150628,36.925541,58.6542025898814,239,67.920258,-100.028824,0.500926268907563,443.831589638638,936.415161,175.41498263479,7.98509747661906,5.70016879435427,83.7876627899459,28.3807383142801,46.7406534996685,28,4.82854799015587,0.874943114452127,0.896454165194988,14120.053227,0.93513620698565,46,37,0.804347826086957,0.162826557748694,709.52002,16.3012211374077,16.3012211374077,88.8555239403808,0.1834575996462,0.1834575996462,-138.816804893355,138.816804893355,107.770497710251,-1.28807797906413,1.28807797906413,49.805269,68.5276602,0.874659733650544,78.0431866771626,29.2762898472334,47.4731115697177,2.25,5,1.43660355952296,51.6264494160187,0.0287143422975297,0.00732508732079838,0.114321427125268,20.1146355119767,0.406483296887187,109.843496180931,343.927246,79.5787653891837,98,13,4.53846153846154,5,1.8469387755102,1.3497005457594,57,516.199982,0.706958398899313,0.613497304290544,71.102679125,35.4205155,85.6666485047908,25,6,0.248148142857143,126.080820094595,390.170868,91.3421476444662,4.63197427994532,4.95609417391785,71.3615987195351,27.0618088894668,43.0634310193789,0.373873873873874,0.824007139229447,0.819479397144518,3412.928598,0.332733824863877,568.821433,4,11,0.391789210262421,286.786151465058,7.78029483974362,7.78029483974362,61.9144524844906,0.125662014724148,0.125662014724148,51.0368228978979,51.0368228978979,104.154595107691,0.490010285625211,0.490010285625211
"C040600B1",9.16612377850163,17,3.53716389072624,48.3088116744495,0.0191323442094324,0.0219165286279692,0.0464348249811145,0.301230358642362,132.567118056751,396.913147,66.3172006824071,268,26,16.8076923076923,7,3.38432835820896,3.59952877643398,113,494.739991,6.87122114281595e-06,0.000330422449440444,0.000460438444926122,0.000431402343244947,8.72587974818396e-06,2.08218822509574e-07,0.000134394841487431,45.6276638045603,32.942616,42.958647298896,307,36.943375,52.081329,0.528236189542484,272.76833582544,650.444763,124.546720554263,6.83047026518208,6.68351762451065,69.2396981544591,25.2701878392393,47.8641256197528,29,3.49510763209393,0.887102844702236,0.904474798618686,14007.692788,0.872110923921914,62,46,0.741935483870968,-0.160047422214072,645.450012,12.7959155878669,12.7959155878669,94.4956916495404,0.135412687758545,0.135412687758545,46.5833213679061,46.5833213679061,74.023892625887,0.629301158253536,0.629301158253536,46.973305,58.4495338701299,0.88593246665499,65.9071664696589,25.7742899632375,47.0354281149455,1.74358974358974,5,1.46391595814911,16.6334552184525,0.0340609263102704,0.00681218526205409,0.124569647008255,11.900134087702,0.426388988432576,87.9960429622642,222.258621,51.689958409514,75,11,4,4,1.58666666666667,1.05386461684157,52,371.690002,0.483973665810398,0.431582140847798,56.4599126153846,37.462605,53.9106150458038,15,9,0.466666666666667,100.144496352594,274.294464,64.5375860552642,4.55851276758314,4.57837286374974,73.1909121754724,29.4478648892587,40.6893195232624,0.554245283018868,0.841248878833047,0.844041405295178,2201.936592,0.658720401645779,244.659621333333,6,7,0.185416965383787,272.926904634992,-9.43367014724833,9.43367014724833,59.8719184414381,-0.157564186897996,0.157564186897996,-13.6995510896226,13.6995510896226,81.1838644560683,-0.168747215735659,0.168747215735659
